catalogue_line_name	name	name_fr	brand	model	identifier_type	identifier_value	source_url	monitoring_cohort	default_market
Standard black toner cartridge	HP 26A Black Original LaserJet Toner CF226A	Toner LaserJet noir HP 26A d’origine CF226A	HP	26A Black	mpn	CF226A	https://www.hp.com/us-en/shop/sitesearch?keyword=CF226A	0	LT
Standard black toner cartridge	HP 203A Black Original LaserJet Toner CF540A	Toner LaserJet noir HP 203A d’origine CF540A	HP	203A Black	mpn	CF540A	https://www.hp.com/us-en/shop/sitesearch?keyword=CF540A	0	LV
Standard black toner cartridge	HP 30A Black Original LaserJet Toner CF230A	Toner LaserJet noir HP 30A d’origine CF230A	HP	30A Black	mpn	CF230A	https://www.hp.com/us-en/shop/sitesearch?keyword=CF230A	0	NL
Standard black toner cartridge	HP 142A Black Original LaserJet Toner W1420A	Toner LaserJet noir HP 142A d’origine W1420A	HP	142A Black	mpn	W1420A	https://www.hp.com/us-en/shop/sitesearch?keyword=W1420A	0	PL
Standard black toner cartridge	HP 85A Black Original LaserJet Toner CE285A	Toner LaserJet noir HP 85A d’origine CE285A	HP	85A Black	mpn	CE285A	https://www.hp.com/us-en/shop/sitesearch?keyword=CE285A	0	SE
Standard black toner cartridge	HP 35A Black Original LaserJet Toner CB435A	Toner LaserJet noir HP 35A d’origine CB435A	HP	35A Black	mpn	CB435A	https://www.hp.com/us-en/shop/sitesearch?keyword=CB435A	0	DK
Business laptop computer	Dell Latitude 3450 business laptop	Ordinateur portable professionnel Dell Latitude 3450	Dell	Latitude 3450	mpn	LATITUDE-3450	https://www.dell.com/fr-fr/shop/ordinateurs-portables-et-2-en-1/sf/latitude-laptops	1	FR
Business laptop computer	Dell Latitude 3550 business laptop	Ordinateur portable professionnel Dell Latitude 3550	Dell	Latitude 3550	mpn	LATITUDE-3550	https://www.dell.com/fr-fr/shop/ordinateurs-portables-et-2-en-1/sf/latitude-laptops	1	DE
Business laptop computer	Dell Latitude 5450 business laptop	Ordinateur portable professionnel Dell Latitude 5450	Dell	Latitude 5450	mpn	LATITUDE-5450	https://www.dell.com/fr-fr/shop/ordinateurs-portables-et-2-en-1/sf/latitude-laptops	0	EE
Business laptop computer	Dell Latitude 5550 business laptop	Ordinateur portable professionnel Dell Latitude 5550	Dell	Latitude 5550	mpn	LATITUDE-5550	https://www.dell.com/fr-fr/shop/ordinateurs-portables-et-2-en-1/sf/latitude-laptops	0	FI
Business laptop computer	Dell Latitude 7450 business laptop	Ordinateur portable professionnel Dell Latitude 7450	Dell	Latitude 7450	mpn	LATITUDE-7450	https://www.dell.com/fr-fr/shop/ordinateurs-portables-et-2-en-1/sf/latitude-laptops	0	LT
Business laptop computer	Dell Latitude 7650 business laptop	Ordinateur portable professionnel Dell Latitude 7650	Dell	Latitude 7650	mpn	LATITUDE-7650	https://www.dell.com/fr-fr/shop/ordinateurs-portables-et-2-en-1/sf/latitude-laptops	0	LV
Business laptop computer	Dell Latitude 7350 Detachable	Ordinateur détachable Dell Latitude 7350	Dell	Latitude 7350 Detachable	mpn	LATITUDE-7350-DETACHABLE	https://www.dell.com/fr-fr/shop/ordinateurs-portables-et-2-en-1/sf/latitude-laptops	0	NL
Business laptop computer	Dell Latitude 5455 business laptop	Ordinateur portable professionnel Dell Latitude 5455	Dell	Latitude 5455	mpn	LATITUDE-5455	https://www.dell.com/fr-fr/shop/ordinateurs-portables-et-2-en-1/sf/latitude-laptops	0	PL
Business laptop computer	Dell Latitude 7455 business laptop	Ordinateur portable professionnel Dell Latitude 7455	Dell	Latitude 7455	mpn	LATITUDE-7455	https://www.dell.com/fr-fr/shop/ordinateurs-portables-et-2-en-1/sf/latitude-laptops	0	SE
Business laptop computer	Dell Latitude 5430 Rugged laptop	Ordinateur portable renforcé Dell Latitude 5430	Dell	Latitude 5430 Rugged	mpn	LATITUDE-5430-RUGGED	https://www.dell.com/fr-fr/shop/ordinateurs-portables-et-2-en-1/sf/latitude-laptops	0	DK
24-inch business display monitor	Dell Pro 24 Plus P2425H monitor	Écran Dell Pro 24 Plus P2425H	Dell	P2425H	mpn	P2425H	https://www.dell.com/fr-fr/shop/%C3%A9cran-dell-24-p2425h/apd/210-bmff/moniteurs-et-accessoires-de-moniteur	1	FR
24-inch business display monitor	Dell Pro 24 Plus P2425HE USB-C monitor	Écran USB-C Dell Pro 24 Plus P2425HE	Dell	P2425HE	mpn	P2425HE	https://www.dell.com/fr-fr/shop/%C3%A9cran-avec-hub-usb-c-dell-pro-24-plus-p2425he/apd/210-bmjb/	1	DE
24-inch business display monitor	Dell P2423D QHD monitor	Écran QHD Dell P2423D	Dell	P2423D	mpn	P2423D	https://www.dell.com/fr-fr/shop/moniteurs/ar/7828	0	EE
24-inch business display monitor	Dell P2423DE USB-C monitor	Écran USB-C Dell P2423DE	Dell	P2423DE	mpn	P2423DE	https://www.dell.com/fr-fr/shop/moniteurs/ar/7828	0	FI
24-inch business display monitor	Dell UltraSharp U2424H monitor	Écran Dell UltraSharp U2424H	Dell	U2424H	mpn	U2424H	https://www.dell.com/fr-fr/shop/moniteurs/ar/7828	0	LT
24-inch business display monitor	Dell UltraSharp U2424HE USB-C monitor	Écran USB-C Dell UltraSharp U2424HE	Dell	U2424HE	mpn	U2424HE	https://www.dell.com/fr-fr/shop/moniteurs/ar/7828	0	LV
24-inch business display monitor	Dell C2423H conferencing monitor	Écran de visioconférence Dell C2423H	Dell	C2423H	mpn	C2423H	https://www.dell.com/fr-fr/shop/moniteurs/ar/7828	0	NL
24-inch business display monitor	Dell E2425H essential monitor	Écran essentiel Dell E2425H	Dell	E2425H	mpn	E2425H	https://www.dell.com/fr-fr/shop/moniteurs/ar/7828	0	PL
24-inch business display monitor	Dell E2425HS essential monitor	Écran essentiel Dell E2425HS	Dell	E2425HS	mpn	E2425HS	https://www.dell.com/fr-fr/shop/moniteurs/ar/7828	0	SE
24-inch business display monitor	Dell P2422H business monitor	Écran professionnel Dell P2422H	Dell	P2422H	mpn	P2422H	https://www.dell.com/fr-fr/shop/moniteurs/ar/7828	0	DK
Network laser printer	Brother HL-L2400DW mono laser printer	Imprimante laser monochrome Brother HL-L2400DW	Brother	HL-L2400DW	mpn	HL-L2400DW	https://www.brother.eu/en-gb/printers/all-printers/hl-l2400dw	1	FR
Network laser printer	Brother HL-L2445DW mono laser printer	Imprimante laser monochrome Brother HL-L2445DW	Brother	HL-L2445DW	mpn	HL-L2445DW	https://www.brother.eu/en-gb/printers/all-printers/hl-l2445dw	1	DE
Network laser printer	Brother HL-L2865DW mono laser printer	Imprimante laser monochrome Brother HL-L2865DW	Brother	HL-L2865DW	mpn	HL-L2865DW	https://www.brother.eu/en-gb/printers/all-printers/hl-l2865dw	0	EE
Network laser printer	Brother HL-L5210DN mono laser printer	Imprimante laser monochrome Brother HL-L5210DN	Brother	HL-L5210DN	mpn	HL-L5210DN	https://www.brother.eu/en-gb/printers/all-printers/hl-l5210dn	0	FI
Network laser printer	Brother HL-L5210DW mono laser printer	Imprimante laser monochrome Brother HL-L5210DW	Brother	HL-L5210DW	mpn	HL-L5210DW	https://www.brother.eu/en-gb/printers/all-printers/hl-l5210dw	0	LT
Network laser printer	Brother HL-L6410DN mono laser printer	Imprimante laser monochrome Brother HL-L6410DN	Brother	HL-L6410DN	mpn	HL-L6410DN	https://www.brother.eu/en-gb/printers/all-printers/hl-l6410dn	0	LV
Network laser printer	Brother HL-L3240CDW colour laser printer	Imprimante laser couleur Brother HL-L3240CDW	Brother	HL-L3240CDW	mpn	HL-L3240CDW	https://www.brother.eu/en-gb/printers/all-printers/hl-l3240cdw	0	NL
Network laser printer	Brother HL-L8240CDW colour laser printer	Imprimante laser couleur Brother HL-L8240CDW	Brother	HL-L8240CDW	mpn	HL-L8240CDW	https://www.brother.eu/en-gb/printers/all-printers/hl-l8240cdw	0	PL
Network laser printer	Brother HL-L9430CDN colour laser printer	Imprimante laser couleur Brother HL-L9430CDN	Brother	HL-L9430CDN	mpn	HL-L9430CDN	https://www.brother.eu/en-gb/printers/all-printers/hl-l9430cdn	0	SE
Network laser printer	Brother HL-L9470CDN colour laser printer	Imprimante laser couleur Brother HL-L9470CDN	Brother	HL-L9470CDN	mpn	HL-L9470CDN	https://www.brother.eu/en-gb/printers/all-printers/hl-l9470cdn	0	DK
Business network switch	TP-Link TL-SG105 5-port Gigabit switch	Commutateur Gigabit 5 ports TP-Link TL-SG105	TP-Link	TL-SG105	mpn	TL-SG105	https://www.tp-link.com/en/business-networking/unmanaged-switch/tl-sg105/	1	FR
Business network switch	TP-Link TL-SG108 8-port Gigabit switch	Commutateur Gigabit 8 ports TP-Link TL-SG108	TP-Link	TL-SG108	mpn	TL-SG108	https://www.tp-link.com/en/business-networking/unmanaged-switch/tl-sg108/	1	DE
Business network switch	TP-Link TL-SG108E Easy Smart switch	Commutateur Easy Smart TP-Link TL-SG108E	TP-Link	TL-SG108E	mpn	TL-SG108E	https://www.tp-link.com/en/business-networking/easy-smart-switch/tl-sg108e/	0	EE
Business network switch	TP-Link TL-SG1016 16-port Gigabit switch	Commutateur Gigabit 16 ports TP-Link TL-SG1016	TP-Link	TL-SG1016	mpn	TL-SG1016	https://www.tp-link.com/en/business-networking/unmanaged-switch/tl-sg1016/	0	FI
Business network switch	TP-Link TL-SG1024 24-port Gigabit switch	Commutateur Gigabit 24 ports TP-Link TL-SG1024	TP-Link	TL-SG1024	mpn	TL-SG1024	https://www.tp-link.com/en/business-networking/unmanaged-switch/tl-sg1024/	0	LT
Business network switch	TP-Link Omada TL-SG2210P PoE+ switch	Commutateur PoE+ TP-Link Omada TL-SG2210P	TP-Link	TL-SG2210P	mpn	TL-SG2210P	https://www.tp-link.com/en/business-networking/omada-switch-poe/tl-sg2210p/	0	LV
Business network switch	TP-Link Omada TL-SG2428P PoE+ switch	Commutateur PoE+ TP-Link Omada TL-SG2428P	TP-Link	TL-SG2428P	mpn	TL-SG2428P	https://www.tp-link.com/en/business-networking/omada-switch-poe/tl-sg2428p/	0	NL
Business network switch	TP-Link Omada TL-SG3428 managed switch	Commutateur administrable TP-Link Omada TL-SG3428	TP-Link	TL-SG3428	mpn	TL-SG3428	https://www.tp-link.com/en/business-networking/omada-switch-l3-l2-managed/tl-sg3428/	0	PL
Business network switch	TP-Link Omada TL-SG3428X 10G switch	Commutateur 10G TP-Link Omada TL-SG3428X	TP-Link	TL-SG3428X	mpn	TL-SG3428X	https://www.tp-link.com/en/business-networking/omada-switch-l3-l2-managed/tl-sg3428x/	0	SE
Business network switch	TP-Link Omada TL-SX3008F 10G SFP+ switch	Commutateur SFP+ 10G TP-Link Omada TL-SX3008F	TP-Link	TL-SX3008F	mpn	TL-SX3008F	https://www.tp-link.com/en/business-networking/omada-switch-l3-l2-managed/tl-sx3008f/	0	DK
Office VoIP telephone	Yealink SIP-T31P IP phone	Téléphone IP Yealink SIP-T31P	Yealink	SIP-T31P	mpn	SIP-T31P	https://www.yealink.com/en/product-detail/ip-phone-t31p	1	FR
Office VoIP telephone	Yealink SIP-T33G IP phone	Téléphone IP Yealink SIP-T33G	Yealink	SIP-T33G	mpn	SIP-T33G	https://www.yealink.com/en/product-detail/ip-phone-t33g	1	DE
Office VoIP telephone	Yealink SIP-T34W Wi-Fi IP phone	Téléphone IP Wi-Fi Yealink SIP-T34W	Yealink	SIP-T34W	mpn	SIP-T34W	https://www.yealink.com/en/product-detail/ip-phone-t34w	0	EE
Office VoIP telephone	Yealink SIP-T43U IP phone	Téléphone IP Yealink SIP-T43U	Yealink	SIP-T43U	mpn	SIP-T43U	https://www.yealink.com/en/product-detail/ip-phone-t43u	0	FI
Office VoIP telephone	Yealink SIP-T44U IP phone	Téléphone IP Yealink SIP-T44U	Yealink	SIP-T44U	mpn	SIP-T44U	https://www.yealink.com/en/product-detail/ip-phone-t44u	0	LT
Office VoIP telephone	Yealink SIP-T46U IP phone	Téléphone IP Yealink SIP-T46U	Yealink	SIP-T46U	mpn	SIP-T46U	https://www.yealink.com/en/product-detail/ip-phone-t46u	0	LV
Office VoIP telephone	Yealink SIP-T48U IP phone	Téléphone IP Yealink SIP-T48U	Yealink	SIP-T48U	mpn	SIP-T48U	https://www.yealink.com/en/product-detail/ip-phone-t48u	0	NL
Office VoIP telephone	Yealink SIP-T53 IP phone	Téléphone IP Yealink SIP-T53	Yealink	SIP-T53	mpn	SIP-T53	https://www.yealink.com/en/product-detail/ip-phone-t53	0	PL
Office VoIP telephone	Yealink SIP-T54W Wi-Fi IP phone	Téléphone IP Wi-Fi Yealink SIP-T54W	Yealink	SIP-T54W	mpn	SIP-T54W	https://www.yealink.com/en/product-detail/ip-phone-t54w	0	SE
Office VoIP telephone	Yealink SIP-T57W touchscreen IP phone	Téléphone IP tactile Yealink SIP-T57W	Yealink	SIP-T57W	mpn	SIP-T57W	https://www.yealink.com/en/product-detail/ip-phone-t57w	0	DK
Commercial fire extinguisher	GLORIA P2 GM powder extinguisher	Extincteur à poudre GLORIA P2 GM	GLORIA	P2 GM	mpn	P2-GM	https://www.gloria.de/en/katalog/	1	FR
Commercial fire extinguisher	GLORIA P6 PRO powder extinguisher	Extincteur à poudre GLORIA P6 PRO	GLORIA	P6 PRO	mpn	P6-PRO	https://www.gloria.de/en/katalog/	1	DE
Commercial fire extinguisher	GLORIA P12 PRO powder extinguisher	Extincteur à poudre GLORIA P12 PRO	GLORIA	P12 PRO	mpn	P12-PRO	https://www.gloria.de/en/katalog/	0	EE
Commercial fire extinguisher	GLORIA KS2 ST carbon dioxide extinguisher	Extincteur au dioxyde de carbone GLORIA KS2 ST	GLORIA	KS2 ST	mpn	KS2-ST	https://www.gloria.de/en/katalog/	0	FI
Commercial fire extinguisher	GLORIA KS5 SE carbon dioxide extinguisher	Extincteur au dioxyde de carbone GLORIA KS5 SE	GLORIA	KS5 SE	mpn	KS5-SE	https://www.gloria.de/en/katalog/	0	LT
Commercial fire extinguisher	GLORIA FB6 EASY foam extinguisher	Extincteur à mousse GLORIA FB6 EASY	GLORIA	FB6 EASY	mpn	FB6-EASY	https://www.gloria.de/en/katalog/	0	LV
Commercial fire extinguisher	GLORIA W6 EASY water extinguisher	Extincteur à eau GLORIA W6 EASY	GLORIA	W6 EASY	mpn	W6-EASY	https://www.gloria.de/en/katalog/	0	NL
Commercial fire extinguisher	GLORIA W9 EASY water extinguisher	Extincteur à eau GLORIA W9 EASY	GLORIA	W9 EASY	mpn	W9-EASY	https://www.gloria.de/en/katalog/	0	PL
Commercial fire extinguisher	GLORIA F2 G grease fire extinguisher	Extincteur pour feux de graisse GLORIA F2 G	GLORIA	F2 G	mpn	F2-G	https://www.gloria.de/en/katalog/	0	SE
Commercial fire extinguisher	GLORIA F6 G grease fire extinguisher	Extincteur pour feux de graisse GLORIA F6 G	GLORIA	F6 G	mpn	F6-G	https://www.gloria.de/en/katalog/	0	DK
Industrial safety helmet	3M SecureFit X5000 safety helmet	Casque de sécurité 3M SecureFit X5000	3M	SecureFit X5000	mpn	X5000	https://www.3m.com/3M/en_US/p/d/b5005066150/	1	FR
Industrial safety helmet	3M SecureFit X5001 safety helmet	Casque de sécurité 3M SecureFit X5001	3M	SecureFit X5001	mpn	X5001	https://www.3m.com/3M/en_US/p/d/b5005066150/	1	DE
Industrial safety helmet	3M SecureFit X5002 safety helmet	Casque de sécurité 3M SecureFit X5002	3M	SecureFit X5002	mpn	X5002	https://www.3m.com/3M/en_US/p/d/b5005066150/	0	EE
Industrial safety helmet	3M SecureFit X5003 safety helmet	Casque de sécurité 3M SecureFit X5003	3M	SecureFit X5003	mpn	X5003	https://www.3m.com/3M/en_US/p/d/b5005066150/	0	FI
Industrial safety helmet	3M SecureFit X5004 safety helmet	Casque de sécurité 3M SecureFit X5004	3M	SecureFit X5004	mpn	X5004	https://www.3m.com/3M/en_US/p/d/b5005066150/	0	LT
Industrial safety helmet	3M SecureFit X5005 safety helmet	Casque de sécurité 3M SecureFit X5005	3M	SecureFit X5005	mpn	X5005	https://www.3m.com/3M/en_US/p/d/b5005066150/	0	LV
Industrial safety helmet	3M SecureFit X5500 safety helmet	Casque de sécurité 3M SecureFit X5500	3M	SecureFit X5500	mpn	X5500	https://www.3m.com/3M/en_US/p/d/b5005066150/	0	NL
Industrial safety helmet	3M SecureFit X5501 safety helmet	Casque de sécurité 3M SecureFit X5501	3M	SecureFit X5501	mpn	X5501	https://www.3m.com/3M/en_US/p/d/b5005066150/	0	PL
Industrial safety helmet	3M G3000 safety helmet	Casque de sécurité 3M G3000	3M	G3000	mpn	G3000	https://www.3m.com/3M/en_US/p/c/ppe/head-face-protection/hard-hats/	0	SE
Industrial safety helmet	3M G3501 safety helmet	Casque de sécurité 3M G3501	3M	G3501	mpn	G3501	https://www.3m.com/3M/en_US/p/c/ppe/head-face-protection/hard-hats/	0	DK
LED exterior luminaire	Philips DigiStreet road luminaire	Luminaire routier Philips DigiStreet	Philips	DigiStreet	mpn	DIGISTREET	https://www.lighting.philips.com/prof/outdoor-luminaires/road-and-street	1	FR
LED exterior luminaire	Philips LumiStreet gen2 road luminaire	Luminaire routier Philips LumiStreet gen2	Philips	LumiStreet gen2	mpn	LUMISTREET-GEN2	https://www.lighting.philips.com/prof/outdoor-luminaires/road-and-street	1	DE
LED exterior luminaire	Philips Luma gen2 road luminaire	Luminaire routier Philips Luma gen2	Philips	Luma gen2	mpn	LUMA-GEN2	https://www.lighting.philips.com/prof/outdoor-luminaires/road-and-street	0	EE
LED exterior luminaire	Philips ClearWay gen2 road luminaire	Luminaire routier Philips ClearWay gen2	Philips	ClearWay gen2	mpn	CLEARWAY-GEN2	https://www.lighting.philips.com/prof/outdoor-luminaires/road-and-street	0	FI
LED exterior luminaire	Philips UniStreet gen2 road luminaire	Luminaire routier Philips UniStreet gen2	Philips	UniStreet gen2	mpn	UNISTREET-GEN2	https://www.lighting.philips.com/prof/outdoor-luminaires/road-and-street	0	LT
LED exterior luminaire	Philips CitySoul gen2 urban luminaire	Luminaire urbain Philips CitySoul gen2	Philips	CitySoul gen2	mpn	CITYSOUL-GEN2	https://www.lighting.philips.com/prof/outdoor-luminaires/urban	0	LV
LED exterior luminaire	Philips TownTune urban luminaire	Luminaire urbain Philips TownTune	Philips	TownTune	mpn	TOWNTUNE	https://www.lighting.philips.com/prof/outdoor-luminaires/urban	0	NL
LED exterior luminaire	Philips ClassicStreet urban luminaire	Luminaire urbain Philips ClassicStreet	Philips	ClassicStreet	mpn	CLASSICSTREET	https://www.lighting.philips.com/prof/outdoor-luminaires/urban	0	PL
LED exterior luminaire	Philips SunStay solar street light	Lampadaire solaire Philips SunStay	Philips	SunStay	mpn	SUNSTAY	https://www.lighting.philips.com/prof/outdoor-luminaires/solar/luminaires/sunstay/919515813979_EU/product	0	SE
LED exterior luminaire	Philips GreenVision Xceed road luminaire	Luminaire routier Philips GreenVision Xceed	Philips	GreenVision Xceed	mpn	GREENVISION-XCEED	https://www.lighting.philips.com/prof/outdoor-luminaires/road-and-street	0	DK
